episode,reward
0,3.5944754564237313
1,4.795964414934462
2,4.496357433236033
3,3.5963168601694546
4,3.5927519006389943
5,4.794488341738637
6,3.595831825346167
7,5.271442861722696
8,3.5959135050590416
9,4.49643134155037
10,5.0962345095406
11,4.7952129450337315
12,4.795797803480173
13,3.5955338090217124
14,4.794112837713609
15,3.5930039148907396
16,3.593802109191484
17,4.792945337979417
18,4.795867369023303
19,4.152490590222174
20,4.793883754460974
21,4.712934366237621
22,3.594721522702383
23,3.593190939565686
24,4.195008925645635
25,4.795840060945537
26,5.395011586299487
27,3.596601553497642
28,4.072581771749302
29,4.1961444651340605
30,4.153845348218153
31,4.795301095378837
32,3.5958012118145826
33,5.3942691760643235
34,3.5131694431096028
35,3.596245089958698
36,3.595659425254977
37,4.195910406565036
38,3.5959572324392837
39,3.5947533678264985
40,3.5953297244556786
41,5.093883223979061
42,4.19467441872046
43,4.4964141205657695
44,4.793226066339016
45,3.473163586599673
46,4.670273555951726
47,4.7957371148842
48,3.595360647632412
49,4.710932704464721
50,3.595408500650124
51,4.794085474934068
52,5.396795617109128
53,2.698879184099445
54,3.2968880072807805
55,3.5935269738231375
56,4.795122315102069
57,3.5930552702818015
58,3.5955222324649534
59,3.595677928558902
60,3.593056818575248
61,3.596129659611677
62,5.096099204469314
63,2.6989297528233975
64,4.793231952018757
65,3.5967904585236874
66,4.672410008841137
67,4.196563972112133
68,3.595093344532546
69,3.5972295181271785
70,2.9984344283883453
71,3.5934749441393405
72,4.793698125884471
73,3.4731941555688426
74,3.1735895847839237
75,3.5961399258852125
76,4.154845858913294
77,4.19531287409893
78,3.5959953294478204
79,3.2979743392093397
80,4.710769129751465
81,3.5929958193046487
82,3.593604042060503
83,3.5966165591036354
84,3.592963500773254
85,4.496258908257071
86,3.5939067520508323
87,3.593726859042563
88,3.297993763766569
89,3.5937488262745414
90,3.5971621738663444
91,4.795795939501253
92,3.5937579319477857
93,3.8967373421167832
94,4.152688018418829
95,5.094319568354908
96,4.193374430053632
97,3.595827384119951
98,3.8970425538801
99,4.794021418455551
100,3.5963379906258752
101,4.1526783511675625
102,3.173241795800341
103,4.194827432254924
104,4.1968480527354615
105,4.796100479135717
106,3.2980140143137056
107,3.896264557899789
108,4.196851646572955
109,3.5930417730707775
110,4.794288187336348
111,3.5938213398410923
112,3.5939303442803525
113,3.5953840771449723
114,3.596184332522519
115,4.710854063141034
116,3.595543742651649
117,3.173538089362653
118,4.796219925129891
119,4.195471584364718
120,3.59385526926215
121,4.1956174237459045
122,3.5959403567852086
123,4.7935778034930445
124,4.193150355998015
125,4.792792682407013
126,5.394784531416037
127,3.17231333024401
128,3.5965490793793036
129,4.710856796664625
130,3.1734076436803154
131,2.998383902633748
132,2.914335469466308
133,4.711120585758191
134,3.5956854999059775
135,4.79680521674736
136,3.173672164182533
137,4.193126540835957
138,3.5962381218068113
139,3.594826776232236
140,3.5937113655687267
141,4.195964027857457
142,3.5937975956863526
143,3.595894577241105
144,3.8975430268366287
145,3.5939278084024204
146,3.8958372596027466
147,3.5964046942532804
148,3.595919770807198
149,4.796835153991565
150,3.173751938952632
151,3.4729466838295826
152,3.596587082157147
153,3.5965822960304807
154,4.793301101555289
155,3.5936637864500174
156,4.152573144878965
157,3.597818308582859
158,3.5941814806671584
159,4.196397533117245
160,4.796552921882714
161,3.5963896267507534
162,3.5959701938687454
163,3.5966735991382195
164,4.796414467577535
165,3.595536090475334
166,3.595672285300979
167,4.152529887787882
168,3.593779626731187
169,2.8738607128532667
170,4.794120278080653
171,2.9980653204081307
172,3.5951191408633654
173,4.7109091175021796
174,2.8738006156791207
175,3.59495932365374
176,3.596485295065017
177,4.793092236524475
178,3.597999539386963
179,3.597208785702816
180,3.4732727736766438
181,2.9976072285115682
182,3.597956296006963
183,5.094295387996029
184,3.596905582625921
185,4.7952635208464995
186,2.698209162479616
187,2.998237535964157
188,3.594197098711675
189,3.596331012240113
190,3.5927362184739207
191,3.593729549304706
192,2.573059620176533
193,4.795860612639365
194,3.5975692330479645
195,4.152342312028665
196,3.59286502368877
197,2.998266190513499
198,3.592991195941415
199,3.5964759788660885
200,3.5936287423594684
201,3.5961233976297136
202,3.5930587570482064
203,3.59362819381776
204,4.196540301352632
205,2.614927242414254
206,3.593393712660934
207,3.5940153030503965
208,3.596361066117428
209,4.197008356998398
210,4.152653309303476
211,2.998085029397219
212,2.57408445930134
213,4.7943653036232305
214,2.9987895663999766
215,2.998470336249365
216,3.595437755482858
217,3.5962960958523853
218,3.595177993744673
219,3.5951054149433364
220,2.6982381265591124
221,3.5957678462178198
222,3.5959101817238563
223,4.796106940203589
224,3.59508958908171
225,4.496903843132318
226,3.5947445438943166
227,4.1931406465023855
228,3.596199815023351
229,3.5959770110091327
230,3.596384768958253
231,3.5936471611699985
232,2.9144000004155957
233,3.5959524703344132
234,3.5964503248455055
235,2.997701986361984
236,3.2969551852727452
237,2.8739572333628978
238,4.1947577784191825
239,5.394599006842049
240,4.795962341521533
241,2.9987600866659525
242,2.698768990189203
243,4.193227299100918
244,3.5964849526686424
245,3.5934303424706884
246,4.795685788367413
247,4.152680379419969
248,3.5957679393566138
249,3.5961278224577162
250,2.573947233543145
251,3.5963086377108633
252,3.596014960243558
253,3.5961201922928323
254,3.1733811681027917
255,3.594974941115609
256,4.152414604783026
257,4.195507807509344
258,2.6985203111276084
259,3.593439179589826
260,3.596165146999082
261,2.87377059218419
262,3.595958248715486
263,3.596317743032223
264,4.195984137445461
265,3.594597213753695
266,3.5930705206553117
267,3.595643797661328
268,3.2982138298620836
269,4.711023946577906
270,4.152634984438804
271,3.595658597582677
272,2.698117685850118
273,3.5952697270745833
274,2.6986945156680595
275,3.5961173276149787
276,2.9982555953920986
277,2.8738308474621537
278,3.5958427452879977
279,3.593931777462906
280,3.5961367197655045
281,3.596078751348385
282,2.9983243005866607
283,4.195287593346957
284,3.59369938138386
285,2.9976712195324637
286,3.173355385433969
287,3.5961604156212994
288,3.5935414781000223
289,3.595724133357204
290,3.596455473515727
291,3.5936667517228793
292,4.793556783772543
293,3.593938835821015
294,3.596452562689487
295,3.5935019417928067
296,3.59399575014995
297,2.9985275460358216
298,3.596470690239939
299,2.698726446420613
300,4.793025695151826
301,4.795043607391382
302,2.6986971143998977
303,3.5956543722272722
304,3.5946130745072717
305,2.99819558504654
306,3.597824210903903
307,2.997813406431071
308,3.593601765396448
309,5.3946815770949685
310,2.6985859065190607
311,3.593543559583291
312,3.5964420085226676
313,3.5947921472045214
314,3.59369728911787
315,4.794467561294229
316,3.595987594771124
317,3.5931724979999697
318,3.5939902294377486
319,3.593364037465786
320,3.596613284592009
321,4.193071689607488
322,2.997984542447969
323,2.6990378317170474
324,3.5958409139845635
325,3.5934354255043166
326,2.8738708115778966
327,2.6986728283448156
328,3.593557960444754
329,4.795480075039271
330,4.196242738558496
331,3.594937499791639
332,3.5935972902092272
333,3.5964063868474665
334,3.5966914184989274
335,3.5955398115593566
336,2.873920413627606
337,4.195153202537378
338,2.5740899889752615
339,3.5959817971501193
340,2.6984317720783233
341,2.6982907721668754
342,3.596262986373546
